"brainregion","disease","count"
"Ventral Tegmental Area","Functional disorder","25"
"Dorsal Nucleus Raphe","cortex bone disorders","25"
"Prefrontal Cortex","Attention deficit hyperactivity disorder","25"
"BRAIN, HIPPOCAMPUS","Recurrent disease","24"
"Structure of paraventricular nucleus","Pituitary Diseases","24"
"Cerebellum","Shy-Drager Syndrome","24"
"Ventral Tegmental Area","Herpes zoster disease","24"
"Reuniens Thalamic Nucleus","Autistic Disorder","24"
"Cerebral cortex","Rett Syndrome","24"
"Entire internal capsule of brain","cortex bone disorders","24"
"Midbrain structure","Depressive disorder","24"
"Lateral Septal Nucleus","cortex bone disorders","24"
"Structure of thalamic reticular nucleus","cortex bone disorders","24"
"Hypothalamic structure","Depressive disorder","23"
"Pars Compacta","Functional disorder","23"
"Prefrontal Cortex","Sensitization (disorder)","23"
"BRAIN, HIPPOCAMPUS","Mucocutaneous Lymph Node Syndrome","23"
"Cerebral cortex","Van der Woude syndrome","23"
"Paracentral Thalamic Nucleus","cortex bone disorders","23"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","23"
"Bundle, Predorsal","Shy-Drager Syndrome","23"
"Corpus striatum structure","Movement Disorders","23"
"Medial Septal Nucleus","cortex bone disorders","23"
"Neostriatum","Movement Disorders","23"
"Pyramidal Cells","Spinal Cord Diseases","23"
"Neostriatum","Dyskinetic syndrome","23"
"Purkinje Cells","Machado-Joseph Disease","23"
"Somatotrophs","Pituitary Diseases","23"
"Genus Hippocampus","Cognition Disorders","23"
"Cerebral cortex","Cat-Scratch Disease","23"
"Structure of nucleus prepositus","Neurodegenerative Disorders","23"
"Cerebral cortex","Parkinsonian Disorders","23"
"Cerebral cortex","Congenital secretory diarrhea, sodium type (disorder)","23"
"Posterior cerebral commissure","cortex bone disorders","23"
"Genus Hippocampus","Major Depressive Disorder","23"
"Genus Hippocampus","Stress Disorders, Traumatic","23"
"Basal Forebrain","Neurodegenerative Disorders","23"
"BRAIN, HIPPOCAMPUS","Pervasive Development Disorder","23"
"Brain Stem","Lewy Body Disease","22"
"Nuclei, Raphe","Spinal Cord Diseases","22"
"Substantia nigra structure","Depressive disorder","22"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","22"
"BRAIN, HIPPOCAMPUS","Rett Syndrome","22"
"Structure of subthalamic nucleus","Functional disorder","22"
"Amygdaloid structure","Anxiety Disorders","22"
"Structure of paraventricular nucleus of thalamus","Functional disorder","22"
"Structure of paraventricular nucleus","Hypertensive disease","22"
"Pituitary Gland","Depressive disorder","22"
"Pituitary Gland","Ovarian Diseases","22"
"Nucleus Basalis Magnocellularis","cortex bone disorders","22"
"Structure of olfactory bulb","Functional disorder","22"
"Purkinje Cells","Chronic Fatigue Syndrome","22"
"Purkinje Cells","Disease Progression","22"
"lateral geniculate nucleus","cortex bone disorders","22"
"central amygdalar nucleus","cortex bone disorders","22"
"Pituitary Gland","Skin endocrine disorder","22"
"BRAIN, HIPPOCAMPUS","Nail-Patella Syndrome","22"
"Pituitary Gland","Liver diseases","22"
"Structure of dentate gyrus","Alzheimer's Disease","22"
"Purkinje Cells","Neurodegenerative Disorders","22"
"Cerebral hemisphere structure (body structure)","Retinal Diseases","22"
"Prefrontal Cortex","Bipolar Disorder","21"
"Optic tract structure","Retinal Diseases","21"
"Medulla Oblongata","Renal glomerular disease","21"
"Brodmann area 18","cortex bone disorders","21"
"Cerebral cortex","Motor Neuron Disease","21"
"Internal capsule anterior limb structure","Aicardi's syndrome","21"
"Prefrontal Cortex","Major Depressive Disorder","21"
"Trigeminal Nuclei","Migraine Disorders","21"
"Auditory Hair Cell","Sensorineural hearing loss (disorder)","21"
"Bundle, Predorsal","Neurotoxicity Syndromes","21"
"Midbrain structure","Movement Disorders","21"
"Structure of rubrospinal tract","Spinal Cord Diseases","21"
"Pulvinar structure","cortex bone disorders","21"
"CA3 field","Marfan Syndrome","21"
"Telencephalon","Pituitary Diseases","21"
"Cerebral hemisphere structure (body structure)","Arteriopathic disease","21"
"Genus Hippocampus","neuropathology disease","21"
"Substantia nigra structure","Van der Woude syndrome","21"
"Midbrain structure","Neurotoxicity Syndromes","21"
"Triangular Septal Nucleus","Down Syndrome","20"
"Cerebral cortex","Obsessive-Compulsive Disorder","20"
"Limbic System","cortex bone disorders","20"
"Genus Hippocampus","Mild cognitive disorder","20"
"Tectospinal tract of medulla","Down Syndrome","20"
"Inferior olivary nucleus","Spinal Cord Diseases","20"
"Nucleus Accumbens","Functional disorder","20"
"Midbrain structure","Retinal Diseases","20"
"Brain Stem","Motor Neuron Disease","20"
"BRAIN, HIPPOCAMPUS","Sweet Syndrome","20"
"Purkinje Cells","Syndrome","20"
"Corpus Callosum","DISORDERS OF THE OPTIC NERVE","20"
"Gyrus Cinguli","cortex bone disorders","20"
"Cerebellum","Parkinson Disease","20"
"CA1 field","Disease Progression","20"
"Pyramidal Cells","Autistic Disorder","20"
"Gyrus Cinguli","Ataxia as late effect of cerebrovascular disease","20"
"Habenula","Depressive disorder","20"
"Cerebral cortex","Liver diseases","20"
"Cerebellum","Hamartoma Syndrome, Multiple","20"
