"brainregion","disease","count"
"External capsule","cortex bone disorders","18"
"BRAIN, HIPPOCAMPUS","Sensitization (disorder)","18"
"Hypothalamic Area, Lateral","cortex bone disorders","18"
"Cerebral hemisphere structure (body structure)","Syndrome","18"
"BRAIN, HIPPOCAMPUS","Prune Belly Syndrome","18"
"Midbrain structure","Parkinsonian Disorders","18"
"Midbrain structure","Disease Progression","18"
"Cortex, Primary Motor","Disease Progression","18"
"Medulla Oblongata","Parkinson Disease","18"
"Brain Stem","Diseases of inner ear","18"
"Basal Nucleus of Meynert","Parkinson Disease","18"
"Cerebellum","DISORDERS OF THE OPTIC NERVE","18"
"Dorsal Nucleus Raphe","Functional disorder","18"
"Hypoglossal nerve nucleus","Spinal Cord Diseases","18"
"Purkinje Cells","Neurotoxicity Syndromes","18"
"Prefrontal Cortex","Stress Disorders, Traumatic","18"
"Pituitary Gland","Spinal Cord Diseases","18"
"Structure of superior temporal sulcus","cortex bone disorders","18"
"Nucleus Raphe Magnus","Spinal Cord Diseases","18"
"Cortex, Primary Motor","Motor Neuron Disease","18"
"Anteroventral Thalamic Nucleus","Alzheimer's Disease","18"
"Pyramidal Tracts","Spinal Cord Diseases","18"
"Cerebral hemisphere structure (body structure)","Migraine Disorders","18"
"Genus Hippocampus","Huntington Disease","18"
"Brain Stem","Retinal Diseases","18"
"CA1 field","Neurotoxicity Syndromes","18"
"Entire lateral geniculate body","DISORDERS OF THE OPTIC NERVE","18"
"Motor Cortex","Functional disorder","18"
"Central gray substance of midbrain","cortex bone disorders","17"
"Anterodorsal nucleus of thalamus","Down Syndrome","17"
"Pars Compacta","cortex bone disorders","17"
"Structure of angular gyrus","Nail-Patella Syndrome","17"
"Lobe, Frontal","Syndrome","17"
"Structure of pars intermedia of pituitary gland","Pituitary Diseases","17"
"Brain Stem","Disorder nervous system","17"
"Entire medulla oblongata","Sudden infant death syndrome","17"
"Nucleus solitarius","Esophageal Diseases","17"
"Cerebral cortex","Creutzfeldt-Jakob disease","17"
"Genus Hippocampus","Psychotic Disorders","17"
"Vestibular nucleus structure","Spinal Cord Diseases","17"
"Corpus Callosum","Bipolar Disorder","17"
"Trigeminal Nuclei","Spinal Cord Diseases","17"
"Structure of nucleus prepositus","Neurotoxicity Syndromes","17"
"Cerebellar vermis structure","cortex bone disorders","17"
"Prefrontal Cortex","Recurrent disease","17"
"Structure of subiculum hippocampi","Alzheimer's Disease","17"
"Cerebral cortex","Attention deficit hyperactivity disorder","17"
"Cerebral hemisphere structure (body structure)","Liver diseases","17"
"Dorsal Nucleus Raphe","Spinal Cord Diseases","17"
"Caudate nucleus structure","Alzheimer's Disease","17"
"Brain Stem","Liver diseases","16"
"Internal arcuate tract","Depressive disorder","16"
"Anterodorsal nucleus of thalamus","Syndrome","16"
"Preoptic Areas","cortex bone disorders","16"
"Purkinje Cells","Syndrome, Bloch-Sulzberger","16"
"Thalamic structure","Depressive disorder","16"
"Cerebral hemisphere structure (body structure)","Neurodevelopmental disorder","16"
"Inferior Colliculus","Spinal Cord Diseases","16"
"BRAIN, HIPPOCAMPUS","Sequela of disorder","16"
"Parietal Lobe","Alzheimer's Disease","16"
"Corpus striatum structure","Tic disorder","16"
"Temporal Lobe","Functional disorder","16"
"Parahippocampal Gyrus","Alzheimer's Disease","16"
"Basal Ganglia","Disorder nervous system","16"
"Corpus striatum structure","neuropathology disease","16"
"Basal Ganglia","Dyskinetic syndrome","16"
"Lateral ventricle structure","cortex bone disorders","16"
"sensory cortex","cortex bone disorders","16"
"intercalated amygdalar nuclei","Depressive disorder","16"
"Corpus Callosum","Alzheimer's Disease","16"
"Substantia Nigra Pars Reticulata","Parkinson Disease","16"
"Cerebrum","cortex bone disorders","16"
"Cerebral cortex","Williams Syndrome","16"
"Substantia nigra structure","Huntington Disease","16"
"Thalamic structure","Alzheimer's Disease","16"
"Cerebral hemisphere structure (body structure)","Depressive disorder","16"
"Basal Ganglia","Obsessive-Compulsive Disorder","16"
"Parabrachial Nucleus","Spinal Cord Diseases","16"
"Pyramidal Cells","Down Syndrome","16"
"Dorsal Nucleus Raphe","Mood Disorders","16"
"Caudal pontine reticular nucleus","Junctional premature complex (disorder)","16"
"Cerebellar Nuclei","Spinal Cord Diseases","16"
"Structure of reticular formation of medulla oblongata","Spinal Cord Diseases","16"
"BRAIN, HIPPOCAMPUS","Gardner Syndrome","16"
"Gyrus Cinguli","Fragile X Syndrome","16"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Spectrum Disorders","16"
"Medial geniculate body","cortex bone disorders","16"
"Purkinje Cells","Conjunctival Diseases","16"
"Prosencephalon","Autism Spectrum Disorders","16"
"Orbitofrontal cortex","Obsessive-Compulsive Disorder","16"
"Structure of paraventricular nucleus","cortex bone disorders","16"
"Corpus striatum structure","Disorders, Mental","16"
"BRAIN, HIPPOCAMPUS","Anxiety Disorders","15"
"Inferior Colliculus","Liver diseases","15"
"Bundle, Predorsal","Mild cognitive disorder","15"
"Cortex, Primary Motor","Parkinsonian Disorders","15"
"Prefrontal Cortex","Psychotic Disorders","15"
"Medial Dorsal Nucleus","Menkes Kinky Hair Syndrome","15"
"Nucleus solitarius","cortex bone disorders","15"
"Hypothalamic structure","Uterine Diseases","15"
"Genus Hippocampus","Post-Traumatic Stress Disorder","15"
"Tectum Mesencephali","Spinal Cord Diseases","15"
"Structure of subthalamic nucleus","Parkinsonian Disorders","15"
"Linear nucleus","cortex bone disorders","15"
"Anterodorsal nucleus of thalamus","Depressive disorder","15"
"BRAIN, HIPPOCAMPUS","Timothy syndrome","15"
"Structure of nucleus infundibularis hypothalami","Functional disorder","15"
"Amygdaloid structure","Mood Disorders","15"
"Basal Ganglia","Tic disorder","15"
"Neostriatum","Disorders, Mental","15"
"Cerebral cortex","Major Depressive Disorder","15"
"Corpus striatum structure","Sensitization (disorder)","15"
"Medial Dorsal Nucleus","Mild cognitive disorder","15"
"Premotor cortex","cortex bone disorders","15"
"CA2 field","Neurodegenerative Disorders","15"
"Neostriatum","neuropathology disease","15"
"Genus Hippocampus","Mood Disorders","15"
"Cerebral cortex","Syndrome, Bloch-Sulzberger","15"
"basolateral nucleus of the amygdala","Hamartoma Syndrome, Multiple","15"
"BRAIN, HIPPOCAMPUS","Gilles de la Tourette syndrome","15"
"Hindbrain","cortex bone disorders","15"
"BRAIN, HIPPOCAMPUS","Virus Diseases","15"
"Genus Hippocampus","Marfan Syndrome","15"
"Neostriatum","Tic disorder","15"
"Bundle, Predorsal","Parkinsonian Disorders","15"
"Globus Pallidus","Functional disorder","15"
"Basal Forebrain","Disease Progression","15"
"Amygdaloid structure","Autistic Disorder","15"
"Basal Ganglia","Gilles de la Tourette syndrome","15"
"Prefrontal Cortex","Autism Spectrum Disorders","15"
"Genus Hippocampus","Brain Diseases","15"
"Basal Forebrain","Parkinson Disease","15"
"Cerebellum","Fetal Alcohol Syndrome","15"
"Parietal Lobe","Functional disorder","15"
"Basal Nucleus of Meynert","Functional disorder","15"
"Basal Ganglia","Disease Progression","15"
"Cerebral cortex","Vasodilation disorder","15"
"Orbitofrontal cortex","Recurrent disease","15"
"Pedunculopontine Tegmental Nucleus","Functional disorder","15"
"Occipital lobe","Alzheimer's Disease","15"
"CA2 field","Functional disorder","15"
"BRAIN, HIPPOCAMPUS","Hodgkin Disease","14"
"Anterior Nuclear Group","cortex bone disorders","14"
"Corpus striatum structure","Obsessive-Compulsive Disorder","14"
"Cerebral hemisphere structure (body structure)","neuropathology disease","14"
"association cortex","cortex bone disorders","14"
"Cerebral cortex","Gilles de la Tourette syndrome","14"
"Occipital lobe","Spinal Cord Diseases","14"
"Pyramidal Cells","Disease Progression","14"
"Medial longitudinal fasciculus","Spinal Cord Diseases","14"
"Structure of capsule of red nucleus","Hamartoma Syndrome, Multiple","14"
"CA1 field","Syndrome, Bloch-Sulzberger","14"
"Inferior Colliculus","Pituitary Diseases","14"
"Cerebral Ventricles","cortex bone disorders","14"
"Presubiculum","cortex bone disorders","14"
"Purkinje Cells","Hamartoma Syndrome, Multiple","14"
"Temporal Lobe","Syndrome","14"
"Prefrontal Cortex","Mood Disorders","14"
"Ventral Striatum","Alzheimer's Disease","14"
"Cerebral hemisphere structure (body structure)","Brain Diseases","14"
"Nuclei, Raphe","cortex bone disorders","14"
"Temporal Lobe","Mild cognitive disorder","14"
"Globus Pallidus","Dystonia Disorders","14"
"Hypothalamic structure","Polycystic Ovary Syndrome","14"
"Cerebral hemisphere structure (body structure)","Hypertensive disease","14"
"Pyramidal Cells","Neurotoxicity Syndromes","14"
"Temporal Lobe","Parkinson Disease","14"
"Cerebellum","Parkinsonian Disorders","14"
"Internal arcuate tract","Spinal Cord Diseases","14"
"Brain Stem","Pervasive Development Disorder","14"
"Telencephalon","Retinal Diseases","14"
"Prosencephalon","Depressive disorder","14"
"CA2 field","Spinal Cord Diseases","14"
"Thalamic structure","Parkinsonian Disorders","14"
"Brodmann area 21","cortex bone disorders","14"
"Hypothalamic structure","Thyroid Diseases","14"
"Amygdaloid structure","Williams Syndrome","14"
"Superior colliculus of corpora quadrigemina","Leigh Disease","14"
"Pretectal region","Retinal Diseases","14"
"Primary Auditory Cortex","cortex bone disorders","14"
"Structure of paraventricular nucleus","Spinal Cord Diseases","14"
"intercalated amygdalar nuclei","Spinal Cord Diseases","14"
"Red nucleus structure","cortex bone disorders","14"
"Structure of paraventricular nucleus of thalamus","Depressive disorder","14"
"Structure of suprachiasmatic nucleus","DISORDERS OF THE OPTIC NERVE","14"
"Structure of rubrospinal tract","Depressive disorder","14"
"Ventral Tegmental Area","Hamartoma Syndrome, Multiple","13"
"Hypothalamic Area, Lateral","Spinal Cord Diseases","13"
"Prosencephalon","Retinal Diseases","13"
"Basal Ganglia","Syndrome","13"
"Neocortex","Functional disorder","13"
"Neocortex","Retinal Diseases","13"
"Anterodorsal nucleus of thalamus","Disorder nervous system","13"
"Structure of locus ceruleus","Disorders, Mental","13"
"Temporal Lobe","Depressive disorder","13"
"Basal Forebrain","neuropathology disease","13"
"Amygdaloid structure","Hamartoma Syndrome, Multiple","13"
"Prosencephalon","Pituitary Diseases","13"
"Dorsal Septal Nucleus","Down Syndrome","13"
"Genus Hippocampus","Hamartoma Syndrome, Multiple","13"
"Pyramidal Tracts","cortex bone disorders","13"
"Structure of suprachiasmatic nucleus","Disorder of pineal gland","13"
"Substantia nigra structure","Disorder nervous system","13"
"Genus Hippocampus","Autistic Disorder","13"
"Anterior insula","cortex bone disorders","13"
"Neostriatum","Dystonia Disorders","13"
"Amygdaloid structure","Skin endocrine disorder","13"
"Nucleus, Anterior Olfactory","cortex bone disorders","13"
"Olfactory tubercle","cortex bone disorders","13"
"Hypothalamic structure","Pancreatic Diseases","13"
"Cerebellum","Movement Disorders","13"
"Spinothalamic tract of medulla","Spinal Cord Diseases","13"
"Corpus striatum structure","Disorder nervous system","13"
"Prefrontal Cortex","Pervasive Development Disorder","13"
"Optic Chiasms","Retinal Diseases","13"
"Structure of diencephalon","Alzheimer's Disease","13"
"Corpus striatum structure","Dystonia Disorders","13"
"Structure of angular gyrus","Depressive disorder","13"
"Hypothalamic Area, Lateral","Recurrent disease","13"
"Cerebellar cortex structure","cortex bone disorders","13"
"Hypothalamic structure","Chronic myeloproliferative disorder","13"
"BRAIN, HIPPOCAMPUS","Lung diseases","13"
"Dorsal Septal Nucleus","Alzheimer's Disease","13"
"Basal Forebrain","Spinal Cord Diseases","13"
"Hypothalamic structure","Metabolic Diseases","13"
"Cerebellum","Conjunctival Diseases","13"
"Neostriatum","Obsessive-Compulsive Disorder","13"
"Gyrus Cinguli","Neurodegenerative Disorders","13"
"Temporal Lobe","Disease Progression","13"
"Pituitary Gland","Testicular Diseases","13"
"Structure of locus ceruleus","neuropathology disease","13"
"Pituitary Gland","Disorder of pineal gland","13"
"Medulla Oblongata","Shy-Drager Syndrome","13"
"Cerebral cortex","Pick Disease of the Brain","13"
"Lateral Parabrachial Nucleus","Spinal Cord Diseases","13"
"Brain Stem","Migraine Disorders","13"
"Structure of locus ceruleus","Lewy Body Disease","13"
"Structure of olfactory bulb","Nose Diseases","13"
"Basal Ganglia","Disorders, Mental","13"
"Orbitofrontal cortex","Functional disorder","12"
"Substantia nigra structure","Syndrome","12"
"Entire subthalamic nucleus","Parkinson Disease","12"
"Corpus striatum structure","Syndrome","12"
"Corpus striatum structure","Shy-Drager Syndrome","12"
"Thalamic structure","Pituitary Diseases","12"
"Purkinje Cells","Autism Spectrum Disorders","12"
"Medial Septal Nucleus","Disease Progression","12"
"Structure of locus ceruleus","Neurotoxicity Syndromes","12"
"Dentate nucleus","cortex bone disorders","12"
"Motor Cortex","Disease Progression","12"
"Dorsal Nucleus Raphe","Major Depressive Disorder","12"
"Basal Forebrain","Mild cognitive disorder","12"
"Pretectal region","Spinal Cord Diseases","12"
"Amygdaloid structure","Autism Spectrum Disorders","12"
"Caudate nucleus structure","Huntington Disease","12"
"Dorsal Nucleus Raphe","Stress Disorders, Traumatic","12"
"Structure of rubrospinal tract","Bloom Syndrome","12"
"Bundle, Predorsal","neuropathology disease","12"
"Inferior Colliculus","Retinal Diseases","12"
"Central gray substance of midbrain","Depressive disorder","12"
"central amygdalar nucleus","Depressive disorder","12"
"Substantia nigra structure","Shy-Drager Syndrome","12"
"Cerebellum","Huntington Disease","12"
"Neostriatum","Shy-Drager Syndrome","12"
"Neostriatum","Disorder nervous system","12"
"Marginal Sulcus","Disease Progression","12"
"Brain Stem","Lung diseases","12"
"Entire midbrain","Parkinson Disease","12"
"Bundle, Predorsal","Disorder nervous system","12"
"Corpus striatum structure","Stereotypic Movement Disorder","12"
"Neocortex","Disease Progression","12"
"Corpus striatum structure","Pituitary Diseases","12"
"Structure of subthalamic nucleus","Dyskinetic syndrome","12"
"Pyramidal Cells","Pervasive Development Disorder","12"
"Lateral habenular nucleus","Functional disorder","12"
"Ventral Tegmental Area","Disorders, Mental","12"
"Genus Hippocampus","Sweet Syndrome","12"
"Nuclei, Raphe","Depressive disorder","12"
"Neostriatum","Stereotypic Movement Disorder","12"
"Globus Pallidus","Huntington Disease","12"
"Basal Nucleus of Meynert","Disease Progression","12"
"Corpus Callosum","Pervasive Development Disorder","12"
"Thalamic structure","Disease Progression","12"
"External capsule","Alzheimer's Disease","12"
"Prefrontal Cortex","Neurodevelopmental disorder","12"
"Midbrain structure","Disorder nervous system","12"
"Structure of entorhinal cortex","Functional disorder","12"
"Cerebral hemisphere structure (body structure)","Pleural Diseases","12"
"Neostriatum","Pituitary Diseases","12"
"Cortex, Primary Motor","Alzheimer's Disease","11"
"Perforant Pathway","Alzheimer's Disease","11"
"Pontine nuclei","Spinal Cord Diseases","11"
"Prefrontal Cortex","Parkinson Disease","11"
"Structure of angular gyrus","Functional disorder","11"
"Internal capsule of brain","Spinal Cord Diseases","11"
"Dorsal Septal Nucleus","Retinal Diseases","11"
"Brain Stem","Shy-Drager Syndrome","11"
"Basal Forebrain","Mesulam Syndrome","11"
"Lateral reticular nucleus (medulla)","Spinal Cord Diseases","11"
"Entire medulla oblongata","Functional disorder","11"
"Neostriatum","Sensitization (disorder)","11"
"Structure of nucleus prepositus","Gerstmann-Straussler-Scheinker Disease","11"
"Structure of median forebrain bundle","Parkinson Disease","11"
"Pedunculopontine Tegmental Nucleus","Spinal Cord Diseases","11"
"Structure of olfactory bulb","Disease Progression","11"
"Limbic System","Functional disorder","11"
"Cerebral hemisphere structure (body structure)","Autistic Disorder","11"
"Nucleus Accumbens","Pituitary Diseases","11"
"Internal capsule of brain","Alzheimer's Disease","11"
"Basal Ganglia","Autistic Disorder","11"
"Hypothalamic structure","Disease Progression","11"
"Structure of subthalamic nucleus","Movement Disorders","11"
"Globus Pallidus","Parkinsonian Disorders","11"
"Basal Nucleus of Meynert","Depressive disorder","11"
"Prefrontal Cortex","Spinal Cord Diseases","11"
"Structure of dentate gyrus","Disorders, Mental","11"
"Brain Stem","Esophageal Diseases","11"
"Genus Hippocampus","Fragile X Syndrome","11"
"Structure of angular gyrus","Neurotoxicity Syndromes","11"
"Cerebral cortex","Nail-Patella Syndrome","11"
"Lobe, Frontal","Autistic Disorder","11"
"Medial nucleus of habenula","Depressive disorder","11"
"Genus Hippocampus","Pervasive Development Disorder","11"
"mossy fiber","Depressive disorder","11"
"Prefrontal Cortex","Obsessive-Compulsive Disorder","11"
